Problem,Vertices,Edges,Construction,Local Search Iteration,Local Search Best,Grasp Iteration,Grasp Best
G1,800,19176,Greedy,215,11384,50,11384
G1,800,19176,Greedy2,158,11427,50,11427
G1,800,19176,Greedy3,68,11390,50,11491
G1,800,19176,Semi-Greedy,127,11376,50,11447
G1,800,19176,Randomised,933,11356,50,11388
G1,800,19176,Randomised2,634,11371,50,11446
G1,800,19176,Randomised3,625,11374,50,11445
G1,800,19176,Randomised4,170,11366,50,11442
G2,800,19176,Greedy,132,11341,50,11341
G2,800,19176,Greedy2,181,11354,50,11354
G2,800,19176,Greedy3,72,11412,50,11499
G2,800,19176,Semi-Greedy,124,11385,50,11449
G2,800,19176,Randomised,867,11337,50,11414
G2,800,19176,Randomised2,616,11367,50,11449
G2,800,19176,Randomised3,613,11375,50,11461
G2,800,19176,Randomised4,163,11361,50,11439
G3,800,19176,Greedy,163,11367,50,11367
G3,800,19176,Greedy2,168,11430,50,11430
G3,800,19176,Greedy3,68,11396,50,11471
G3,800,19176,Semi-Greedy,123,11378,50,11500
G3,800,19176,Randomised,953,11342,50,11404
G3,800,19176,Randomised2,629,11368,50,11463
G3,800,19176,Randomised3,629,11373,50,11474
G3,800,19176,Randomised4,165,11363,50,11436
G4,800,19176,Greedy,164,11396,50,11396
G4,800,19176,Greedy2,194,11378,50,11378
G4,800,19176,Greedy3,72,11420,50,11507
G4,800,19176,Semi-Greedy,126,11391,50,11488
G4,800,19176,Randomised,917,11371,50,11409
G4,800,19176,Randomised2,619,11369,50,11440
G4,800,19176,Randomised3,629,11385,50,11467
G4,800,19176,Randomised4,166,11368,50,11485
G5,800,19176,Greedy,131,11344,50,11344
G5,800,19176,Greedy2,155,11357,50,11357
G5,800,19176,Greedy3,73,11421,50,11483
G5,800,19176,Semi-Greedy,119,11374,50,11472
G5,800,19176,Randomised,881,11329,50,11421
G5,800,19176,Randomised2,621,11374,50,11484
G5,800,19176,Randomised3,632,11381,50,11467
G5,800,19176,Randomised4,166,11366,50,11445
G6,800,19176,Greedy,173,1909,50,1909
G6,800,19176,Greedy2,172,1944,50,1944
G6,800,19176,Greedy3,87,1945,50,2012
G6,800,19176,Semi-Greedy,139,1904,50,2035
G6,800,19176,Randomised,662,1923,50,1965
G6,800,19176,Randomised2,636,1912,50,1989
G6,800,19176,Randomised3,647,1921,50,2019
G6,800,19176,Randomised4,178,1911,50,1996
G7,800,19176,Greedy,139,1645,50,1645
G7,800,19176,Greedy2,222,1754,50,1754
G7,800,19176,Greedy3,92,1777,50,1859
G7,800,19176,Semi-Greedy,134,1746,50,1863
G7,800,19176,Randomised,630,1753,50,1821
G7,800,19176,Randomised2,629,1756,50,1835
G7,800,19176,Randomised3,633,1755,50,1844
G7,800,19176,Randomised4,169,1743,50,1811
G8,800,19176,Greedy,166,1749,50,1749
G8,800,19176,Greedy2,147,1698,50,1698
G8,800,19176,Greedy3,84,1769,50,1850
G8,800,19176,Semi-Greedy,141,1761,50,1869
G8,800,19176,Randomised,623,1789,50,1847
G8,800,19176,Randomised2,620,1753,50,1857
G8,800,19176,Randomised3,649,1760,50,1851
G8,800,19176,Randomised4,179,1761,50,1910
G9,800,19176,Greedy,163,1816,50,1816
G9,800,19176,Greedy2,192,1804,50,1804
G9,800,19176,Greedy3,89,1823,50,1926
G9,800,19176,Semi-Greedy,141,1801,50,1894
G9,800,19176,Randomised,622,1783,50,1840
G9,800,19176,Randomised2,624,1795,50,1888
G9,800,19176,Randomised3,619,1789,50,1862
